1	0.000000000	192.168.0.24		10.0.0.5		98	84								1
2	1.001451000	192.168.0.24		10.0.0.5		98	84								1
3	2.002970000	192.168.0.24		10.0.0.5		98	84								1
4	3.003552000	192.168.0.24		10.0.0.5		98	84								1
5	4.005007000	192.168.0.24		10.0.0.5		98	84								1
6	5.000675000					60									
7	5.006562000	192.168.0.24		10.0.0.5		98	84								1
8	6.007267000	192.168.0.24		10.0.0.5		98	84								1
9	7.007805000	192.168.0.24		10.0.0.5		98	84								1
10	8.009248000	192.168.0.24		10.0.0.5		98	84								1
11	9.009885000	192.168.0.24		10.0.0.5		98	84								1
12	10.010555000	192.168.0.24		10.0.0.5		98	84								1
13	11.012003000	192.168.0.24		10.0.0.5		98	84								1
14	12.013473000	192.168.0.24		10.0.0.5		98	84								1
15	13.015030000	192.168.0.24		10.0.0.5		98	84								1
16	14.015575000	192.168.0.24		10.0.0.5		98	84								1
17	15.017001000	192.168.0.24		10.0.0.5		98	84								1
18	16.017669000	192.168.0.24		10.0.0.5		98	84								1
19	17.018351000	192.168.0.24		10.0.0.5		98	84								1
20	18.019862000	192.168.0.24		10.0.0.5		98	84								1
21	19.020604000	192.168.0.24		10.0.0.5		98	84								1
22	20.022073000	192.168.0.24		10.0.0.5		98	84								1
23	21.023634000	192.168.0.24		10.0.0.5		98	84								1
24	22.025123000	192.168.0.24		10.0.0.5		98	84								1
25	23.026641000	192.168.0.24		10.0.0.5		98	84								1
26	24.027365000	192.168.0.24		10.0.0.5		98	84								1
27	25.027900000	192.168.0.24		10.0.0.5		98	84								1
28	26.029264000	192.168.0.24		10.0.0.5		98	84								1
29	27.030752000	192.168.0.24		10.0.0.5		98	84								1
30	28.032279000	192.168.0.24		10.0.0.5		98	84								1
31	29.033675000	192.168.0.24		10.0.0.5		98	84								1
32	30.034319000	192.168.0.24		10.0.0.5		98	84								1
33	31.035096000	192.168.0.24		10.0.0.5		98	84								1
34	32.036628000	192.168.0.24		10.0.0.5		98	84								1
35	33.037111000	192.168.0.24		10.0.0.5		98	84								1
